Gasday;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;State
15/08/2024;115,093,800;28,263,192;14,454,072;5,215,584;905,258,136;93,620,520;37,526,314;661,082;final
14/08/2024;112,711,344;28,390,344;14,203,512;5,523,336;988,918,080;91,684,848;37,369,098;2,275,450;final
13/08/2024;112,804,800;27,420,192;14,259,744;4,946,424;898,690,560;87,851,328;34,369,011;548,203;final
12/08/2024;120,011,064;28,634,712;15,383,232;5,077,104;916,354,344;85,655,064;30,900,159;1,130,635;final
11/08/2024;126,233,568;30,478,320;16,296,240;5,631,528;748,594,248;71,895,600;29,720,899;532,923;final
10/08/2024;127,680,648;29,762,040;16,316,064;5,577,624;722,509,704;71,604,984;29,407,129;506,326;final
09/08/2024;136,133,208;29,725,704;17,004,408;5,577,312;846,684,096;85,585,248;31,212,992;574,713;final
08/08/2024;137,411,472;30,640,224;16,692,648;6,094,176;945,121,104;89,806,272;31,017,206;662,432;final
07/08/2024;129,944,856;30,184,224;16,106,016;6,092,592;989,738,304;88,478,856;32,714,619;603,577;final
06/08/2024;134,008,920;30,256,152;16,314,096;5,589,192;975,672,648;86,381,880;26,886,518;554,995;final
05/08/2024;145,861,272;30,207,552;17,970,792;5,862,984;998,774,328;87,022,656;27,657,695;537,645;final
04/08/2024;139,896,360;30,887,208;17,448,192;6,223,488;771,915,336;73,197,984;24,693,958;409,877;final
03/08/2024;130,338,192;29,387,496;16,433,808;5,976,888;754,951,320;69,939,360;24,851,157;414,610;final
02/08/2024;129,798,600;29,581,200;16,235,664;5,996,064;945,810,312;83,857,800;28,042,165;592,284;final
01/08/2024;125,071,536;30,205,896;15,983,520;6,119,016;997,032,720;84,119,760;30,699,609;572,146;final
31/07/2024;121,458,048;29,800,296;15,335,688;5,678,664;947,571,696;83,836,728;30,406,028;547,822;final
30/07/2024;131,276,424;30,954,480;16,411,824;5,840,664;954,777,312;81,953,496;34,666,173;525,586;final
29/07/2024;144,184,272;31,246,656;17,861,280;6,282,456;922,309,728;83,466,456;33,113,878;561,366;final
28/07/2024;141,124,776;32,028,456;18,073,560;6,344,448;743,699,376;68,710,440;34,230,589;462,497;final
27/07/2024;135,769,728;31,732,272;17,713,320;6,415,872;804,318,648;69,537,576;34,543,768;488,264;final
26/07/2024;142,644,600;31,631,520;17,791,440;6,316,464;960,235,824;81,501,120;37,922,043;559,381;final
25/07/2024;151,127,472;32,299,848;18,854,040;6,337,800;958,691,784;86,764,752;35,433,771;585,106;final
24/07/2024;150,735,888;32,111,424;19,813,848;6,489,672;975,148,512;88,756,872;37,409,183;647,415;final
23/07/2024;135,252,120;30,842,040;17,223,696;6,381,744;950,208,960;88,291,464;38,521,536;544,506;final
22/07/2024;125,170,560;29,956,944;15,767,712;6,156,312;958,661,016;85,714,416;37,698,296;519,714;final
21/07/2024;115,956,768;28,464,768;14,750,448;5,940,000;776,777,376;70,160,184;34,517,860;411,940;final
20/07/2024;115,250,256;29,639,040;14,342,016;5,821,488;737,752,704;69,741,720;35,021,297;1,219,436;final
19/07/2024;126,282,576;31,706,232;16,103,736;6,030,048;925,078,032;82,756,704;37,087,324;538,707;final
18/07/2024;136,702,368;31,380,816;17,813,952;6,376,632;1,026,306,792;85,726,032;38,021,332;3,340,849;final
17/07/2024;142,822,368;32,779,176;18,575,544;6,815,064;990,899,688;89,039,856;37,666,612;562,144;final
16/07/2024;141,964,944;33,209,472;18,625,848;7,016,160;940,003,632;90,204,744;37,343,487;2,705,713;final
15/07/2024;144,821,328;32,821,464;19,256,880;6,798,168;976,647,000;88,069,368;34,860,182;3,509,048;final
14/07/2024;159,022,800;33,525,816;21,470,904;7,251,840;799,224,120;75,497,592;34,839,430;455,928;final
13/07/2024;157,554,696;33,730,368;21,387,576;7,137,384;765,658,824;75,756,408;34,026,261;485,763;final
12/07/2024;140,263,440;32,118,864;19,062,072;7,228,464;948,479,544;93,711,648;41,921,141;542,365;final
11/07/2024;130,510,656;31,826,712;17,095,776;6,935,904;1,054,981,536;90,883,920;47,399,611;3,418,046;final
10/07/2024;129,869,712;32,448,072;16,498,752;6,616,512;1,003,997,400;93,705,120;44,693,704;814,814;final
09/07/2024;138,181,824;34,537,056;17,445,936;6,742,104;929,097,960;90,286,080;33,585,349;562,944;final
08/07/2024;173,892,936;36,698,568;21,743,568;8,176,944;1,024,597,800;92,170,080;36,618,719;3,621,854;final
07/07/2024;187,471,776;40,199,880;23,358,840;9,377,496;793,075,704;77,762,688;35,681,953;488,184;final
06/07/2024;179,452,632;40,833,048;23,730,912;8,816,832;757,806,744;75,642,912;33,493,039;477,651;final
05/07/2024;217,254,528;44,114,088;28,406,088;9,599,400;915,484,200;91,224,888;36,629,905;658,440;final
04/07/2024;251,003,664;43,347,936;32,018,832;9,570,696;961,468,944;95,025,408;42,047,384;643,506;final
03/07/2024;259,152,624;43,400,784;33,217,776;9,715,752;1,044,868,440;100,734,672;50,096,566;933,621;final
02/07/2024;215,832,192;42,041,832;28,130,904;7,755,048;994,097,832;100,756,560;44,913,804;990,175;final
01/07/2024;174,122,760;37,536,768;23,728,824;6,644,760;1,000,174,896;96,286,128;47,827,568;780,456;final
30/06/2024;139,731,072;32,988,936;19,531,536;6,215,520;793,451,112;77,063,112;36,753,409;530,489;final
29/06/2024;123,401,040;31,141,296;17,094,864;6,592,584;751,846,680;75,011,544;35,717,999;815,712;final
28/06/2024;127,335,216;31,667,928;16,947,336;6,476,976;896,677,152;92,341,512;40,138,519;888,875;final
27/06/2024;124,264,272;31,557,720;15,593,016;6,194,904;985,026,648;98,759,760;53,501,506;3,644,349;final
26/06/2024;133,180,872;32,941,104;17,049,792;6,747,360;1,025,177,280;94,116,792;40,488,779;4,183,164;final
25/06/2024;149,379,648;36,178,392;19,604,400;7,394,640;1,007,537,904;96,061,368;43,416,818;781,932;final
24/06/2024;166,276,968;37,384,560;21,931,752;8,244,624;1,035,398,880;96,534,840;41,990,796;3,527,885;final
23/06/2024;179,655,912;38,658,864;23,401,104;9,450,888;845,337,888;79,706,904;39,241,321;591,961;final
22/06/2024;178,839,816;40,424,208;24,029,520;9,773,472;782,487,840;80,223,552;39,926,376;584,951;final
21/06/2024;171,402,960;39,040,320;24,698,568;9,565,272;1,023,813,408;99,234,144;44,762,280;6,398,745;final
20/06/2024;174,817,776;39,531,504;26,080,920;9,822,336;1,093,618,368;103,364,592;45,991,059;9,849,400;final
19/06/2024;182,822,688;42,230,496;27,469,752;10,067,400;1,041,324,480;102,797,880;45,588,260;6,533,055;final
18/06/2024;173,565,048;42,405,048;25,428,552;10,663,344;1,075,090,128;100,856,952;44,660,112;7,389,378;final
17/06/2024;203,496,648;45,512,760;27,638,160;11,452,056;1,076,815,824;103,078,440;41,455,930;7,195,414;final
16/06/2024;224,772,480;47,454,864;28,967,592;11,344,056;831,580,200;82,234,656;24,399,884;1,116,366;final
15/06/2024;240,354,960;50,542,728;29,995,848;11,561,736;802,143,624;83,874,384;22,907,669;430,009;final
14/06/2024;277,857,024;54,575,136;33,764,256;13,235,736;975,681,648;101,062,608;25,474,809;2,804,775;final
13/06/2024;339,272,544;62,398,704;43,926,312;14,876,880;1,115,758,584;111,132,744;25,567,589;6,451,197;final
12/06/2024;364,734,528;59,279,592;52,143,192;15,476,976;1,133,729,496;115,688,136;40,140,286;7,981,827;final
11/06/2024;336,460,728;55,455,240;49,509,288;13,291,392;1,086,845,664;114,480,216;36,596,939;7,364,424;final
10/06/2024;291,157,440;51,211,296;44,374,920;13,217,880;1,091,950,224;110,346,120;26,156,372;7,408,800;final
09/06/2024;250,332,432;47,981,616;36,855,504;12,113,616;913,404,120;85,541,280;33,131,721;1,225,474;final
08/06/2024;235,331,688;46,946,832;35,856,648;12,009,648;839,569,416;83,816,328;32,502,022;440,335;final
07/06/2024;256,778,808;51,593,904;38,254,368;13,279,800;1,032,861,432;102,494,400;37,282,085;5,827,072;final
06/06/2024;262,614,528;52,327,872;38,754,936;12,900,552;1,137,403,440;113,227,632;37,099,083;7,185,980;final
05/06/2024;246,215,520;54,305,040;34,594,608;13,253,400;1,099,287,312;111,883,872;38,413,888;6,553,433;final
04/06/2024;243,560,016;53,033,016;31,928,208;12,797,616;1,096,567,872;106,283,424;36,499,240;6,234,861;final
03/06/2024;254,707,272;55,199,904;32,250,672;12,533,880;1,246,548,360;108,114,264;43,641,846;11,141,473;final
02/06/2024;238,749,072;49,581,312;29,263,176;11,440,224;864,821,328;90,058,848;37,919,822;3,240,187;final
01/06/2024;254,624,592;47,332,296;29,167,608;11,258,232;834,234,552;86,861,736;37,622,782;1,346,688;final
31/05/2024;281,801,880;48,779,520;34,564,512;12,983,952;987,780,168;97,473,336;41,273,721;4,719,099;final
30/05/2024;271,664,760;50,220,504;36,849,960;12,888,048;1,004,067,960;99,002,064;36,817,379;5,753,672;final
29/05/2024;264,844,728;47,027,952;36,539,304;12,266,376;1,069,291,416;105,509,520;43,897,406;4,244,278;final
28/05/2024;254,489,256;47,437,488;34,377,480;12,219,888;1,086,224,592;104,328,408;42,543,762;4,302,728;final
27/05/2024;225,028,488;44,517,240;29,145,576;12,231,480;1,119,573,288;100,965,720;42,075,512;6,475,003;final
26/05/2024;220,623,768;44,168,784;28,060,536;11,044,368;857,871,960;80,514,000;37,567,837;462,343;final
25/05/2024;244,473,864;46,396,656;29,520,096;11,024,280;902,061,216;81,784,368;39,581,176;411,557;final
24/05/2024;257,206,752;48,166,464;30,215,016;12,331,008;1,147,551,816;101,610,384;43,137,484;843,976;final
23/05/2024;241,350,336;48,180,888;29,442,408;10,963,272;1,179,132,144;104,260,968;42,666,385;3,816,688;final
22/05/2024;234,676,776;44,287,416;28,290,792;11,074,104;1,092,244,392;104,951,040;41,455,271;2,671,059;final
21/05/2024;226,233,744;44,975,520;27,134,880;10,226,184;1,087,951,224;98,176,584;40,337,300;2,664,237;final
20/05/2024;240,940,704;46,077,912;31,167,312;10,771,176;819,354,648;80,492,184;39,919,240;488,653;final
19/05/2024;259,750,800;49,430,976;31,544,472;11,116,392;787,245,144;76,119,840;41,110,955;420,306;final
18/05/2024;255,274,728;47,066,376;30,145,272;11,155,704;844,711,392;79,130,520;40,685,903;423,945;final
17/05/2024;256,264,536;47,437,008;28,177,416;10,427,328;1,016,622,408;98,257,968;40,525,958;450,870;final
16/05/2024;216,116,880;45,695,808;25,090,224;10,362,024;1,115,077,584;106,080,576;38,495,882;5,245,540;final
15/05/2024;199,505,016;47,204,520;23,229,240;10,089,024;1,123,310,664;100,354,272;37,897,676;5,701,519;final
14/05/2024;196,662,744;49,828,512;24,264,648;10,315,704;1,019,891,760;103,404,360;38,634,829;5,253,101;final
13/05/2024;223,558,872;53,480,352;28,048,800;11,323,368;1,056,406,512;101,478,696;38,848,815;4,763,106;final
12/05/2024;242,325,768;56,180,544;32,003,328;11,586,000;819,420,816;82,342,896;40,791,366;734,081;final
11/05/2024;277,876,104;62,302,536;37,640,304;13,519,848;855,119,904;84,813,528;43,067,062;433,723;final
10/05/2024;325,631,088;71,596,008;42,686,544;15,968,160;1,014,191,904;92,937,792;44,349,627;1,535,444;final
09/05/2024;354,654,696;75,221,496;45,734,280;17,915,376;976,596,312;91,779,912;45,402,057;470,127;final
08/05/2024;390,107,184;75,428,376;51,973,608;19,488,096;1,237,445,232;112,633,896;49,418,215;4,400,976;final
07/05/2024;397,021,176;74,466,984;54,498,768;19,978,704;1,308,351,144;116,380,728;49,164,072;8,216,040;final
06/05/2024;381,104,832;71,350,224;53,769,600;18,968,184;1,249,776,216;116,519,952;46,679,150;5,369,563;final
05/05/2024;365,143,752;71,550,864;54,771,288;19,089,744;946,448,016;95,511,456;43,162,121;630,971;final
04/05/2024;345,864,096;61,747,296;46,312,416;15,514,224;955,550,016;94,099,776;43,702,618;2,099,707;final
03/05/2024;311,838,048;57,638,112;40,580,664;18,472,800;1,114,183,752;112,372,704;47,704,908;5,807,736;final
02/05/2024;230,194,008;54,577,224;29,147,712;15,569,544;975,864,864;105,084,600;47,060,071;4,180,643;final
01/05/2024;217,927,464;64,069,368;30,703,656;17,293,224;804,694,032;85,512,456;43,951,844;603,750;final
30/04/2024;272,103,168;73,928,160;40,653,864;24,203,856;1,012,825,272;108,932,664;49,227,913;4,840,425;final
29/04/2024;356,991,744;90,593,088;51,977,736;29,884,440;1,177,138,608;117,340,416;51,033,642;6,069,834;final
28/04/2024;435,443,592;117,173,592;61,966,368;34,294,536;929,672,304;102,437,616;47,156,878;829,289;final
27/04/2024;588,959,712;145,867,488;86,921,640;39,880,272;963,930,384;104,973,984;53,519,040;1,961,569;final
26/04/2024;836,730,216;175,813,728;118,254,720;47,358,288;1,365,700,728;138,163,488;64,093,538;5,648,108;final
25/04/2024;989,229,840;189,633,360;136,867,560;49,022,064;1,532,030,256;149,672,688;75,357,821;7,585,695;final
24/04/2024;1,034,307,672;196,805,184;140,210,856;50,685,144;1,592,607,024;154,754,304;82,269,968;9,690,595;final
23/04/2024;1,043,659,584;201,187,920;138,725,856;50,777,880;1,545,454,320;156,398,616;74,173,440;8,034,338;final
22/04/2024;1,046,199,528;198,093,240;138,498,696;51,291,168;1,600,198,560;156,911,352;79,920,378;10,473,809;final
21/04/2024;978,131,304;191,768,904;128,946,144;49,594,176;1,176,526,872;122,593,032;66,529,738;4,790,558;final
20/04/2024;924,058,560;170,819,088;123,596,976;44,741,760;1,089,684,624;120,830,040;65,855,811;4,580,068;final
19/04/2024;930,580,272;165,113,328;125,702,304;45,806,856;1,221,204,720;141,731,184;68,646,253;5,058,553;final
18/04/2024;900,669,360;159,634,896;123,316,224;43,150,080;1,343,295,936;143,541,000;73,865,324;6,500,824;final
17/04/2024;837,881,136;133,256,256;122,175,528;37,050,744;1,449,556,296;149,391,072;75,710,560;6,904,474;final
16/04/2024;688,291,560;107,260,440;109,590,312;30,136,320;1,284,907,032;142,519,728;62,273,396;6,490,038;final
15/04/2024;501,782,952;90,766,896;87,046,320;26,199,576;1,095,480,408;128,374,608;52,651,744;5,045,691;final
14/04/2024;356,707,992;84,876,624;59,454,696;24,008,280;879,036,528;96,745,368;45,576,628;3,114,301;final
13/04/2024;337,654,944;85,603,512;47,805,144;21,789,264;773,669,832;91,602,936;43,203,055;980,205;final
12/04/2024;454,151,592;95,286,600;63,585,576;25,033,440;994,198,200;116,130,912;54,350,222;4,664,362;final
11/04/2024;532,368,264;91,018,152;75,756,840;28,811,328;1,167,561,888;125,095,152;61,301,063;5,923,948;final
10/04/2024;498,788,088;80,807,160;73,909,392;25,386,600;1,226,465,544;131,231,976;57,324,242;6,205,223;final
09/04/2024;361,983,960;71,592,264;57,131,328;25,155,432;1,117,705,200;124,267,392;47,700,103;4,883,886;final
08/04/2024;254,929,152;69,932,280;42,256,008;23,349,168;1,140,807,696;116,479,104;49,090,005;4,960,090;final
07/04/2024;268,082,256;92,251,128;42,162,072;27,218,640;875,411,160;95,174,880;47,284,712;4,054,779;final
06/04/2024;319,220,568;111,865,008;48,019,800;27,674,328;823,839,216;95,867,472;49,249,669;3,875,981;final
05/04/2024;471,969,024;128,744,640;74,426,832;35,513,856;1,044,644,640;123,236,544;57,265,348;4,714,623;final
04/04/2024;629,745,264;143,398,824;96,948,072;39,523,128;1,201,860,072;133,538,400;61,579,056;4,846,117;final
03/04/2024;677,691,288;144,654,792;101,862,672;40,488,024;1,347,497,448;136,449,720;68,957,092;8,469,083;final
02/04/2024;657,061,704;128,220,312;100,955,160;38,921,640;1,218,634,512;133,189,800;57,248,732;5,678,746;final
01/04/2024;598,254,144;129,115,200;90,915,120;40,337,016;971,577,984;105,029,184;42,859,846;4,508,250;final
31/03/2024;518,962,488;127,821,936;79,996,896;38,431,272;860,007,744;93,520,728;40,249,269;4,127,372;final
30/03/2024;528,011,966;131,944,445;81,888,740;38,771,905;897,426,535;94,044,263;39,378,918;5,730,057;final
29/03/2024;720,021,792;153,675,816;108,520,728;44,150,784;988,725,312;107,011,872;48,610,462;4,623,806;final
28/03/2024;801,402,096;166,954,128;115,323,312;47,174,448;1,171,511,328;132,139,008;54,258,144;5,178,454;final
27/03/2024;793,629,600;167,737,056;116,143,488;46,355,424;1,350,491,736;134,181,960;55,319,105;8,270,071;final
26/03/2024;875,598,600;191,986,080;130,818,936;49,317,312;1,331,997,456;141,266,592;56,892,796;7,160,620;final
25/03/2024;1,001,590,176;194,290,632;147,365,664;48,600,000;1,481,051,448;150,481,368;67,190,014;7,767,196;final
24/03/2024;956,295,120;178,705,896;144,582,288;49,269,432;1,184,608,992;130,438,272;60,066,953;4,648,695;final
23/03/2024;799,892,976;166,963,056;124,442,400;42,853,368;1,097,733,864;124,462,680;59,012,974;4,692,021;final
22/03/2024;632,972,256;144,334,536;99,565,680;35,730,816;1,251,379,224;132,426,216;62,009,106;6,554,766;final
21/03/2024;646,346,592;157,438,992;96,180,600;38,616,816;1,339,343,832;135,474,312;66,777,755;5,929,713;final
20/03/2024;677,317,080;167,967,576;94,971,552;39,893,856;1,391,742,984;129,718,272;63,401,803;8,694,443;final
19/03/2024;793,519,056;181,273,152;115,073,304;42,465,840;1,423,586,088;134,184,240;75,084,571;7,955,146;final
18/03/2024;831,834,072;188,923,056;125,553,504;45,676,416;1,446,798,384;136,129,656;80,053,614;6,805,989;final
17/03/2024;784,909,056;166,871,736;119,923,896;43,072,584;1,127,924,160;112,395,096;74,584,254;5,872,771;final
16/03/2024;693,597,336;152,638,632;107,578,512;42,987,864;1,076,845,800;112,609,272;56,926,724;5,145,868;final
15/03/2024;636,021,768;156,030,360;95,329,680;46,521,840;1,156,602,936;124,241,424;59,630,407;5,375,156;final
14/03/2024;706,327,896;169,045,848;102,741,360;47,864,496;1,299,994,512;129,174,720;66,933,928;5,627,853;final
13/03/2024;840,726,408;182,173,728;121,873,320;50,936,304;1,425,019,296;142,429,200;72,222,616;7,460,481;final
12/03/2024;892,755,000;190,728,888;134,610,864;52,170,072;1,529,621,040;149,732,112;62,768,769;10,439,785;final
11/03/2024;873,385,224;188,184,984;136,692,960;52,222,896;1,459,486,704;147,294,648;61,405,552;6,869,050;final
10/03/2024;893,481,816;197,215,104;140,678,856;53,118,432;1,139,839,824;119,961,240;59,181,629;5,138,972;final
09/03/2024;1,009,882,032;221,952,216;155,459,400;57,132,552;1,101,895,680;123,879,048;64,869,206;5,272,652;final
08/03/2024;1,100,531,160;223,605,864;162,701,736;56,391,072;1,371,124,920;153,165,552;73,312,499;9,586,559;final
07/03/2024;1,075,872,720;221,437,464;156,303,432;57,266,952;1,531,177,416;162,935,496;84,031,401;11,782,983;final
06/03/2024;991,203,792;204,257,088;144,930,768;54,568,200;1,549,260,192;157,584,648;83,342,838;11,694,795;final
05/03/2024;921,226,176;188,496,624;136,905,360;51,429,816;1,548,963,432;154,669,776;90,557,594;11,493,765;final
